"mass","intensity"
1000.01504708458,0
1000.11702375928,0.057102847292704
1000.21900563569,0.0969489074835437
1000.32099271381,0.122113946776416
1000.42298499364,0.135205504473561
1000.52498247437,0.138500562741392
1000.62698515763,0.134485884133952
1000.72899304179,0.125648231208125
1000.83100612766,0.114641083937833
1000.93302441605,0.103784487460942
1001.03504790535,0.0958132713589208
1001.13707659636,0.100922521938244
1001.23911048908,0.101722138815219
1001.34114958352,0.119934879650501
1001.44319387886,0.158227512962
1001.54524337673,0.238486307067056
1001.64729807632,0.329404376107433
1001.74935797681,0.428234359340536
1001.85142307902,0.525955844344622
1001.95349338375,0.654706894565969
1002.05556888939,0.75493437410978
1002.15764959675,0.860165224609588
1002.25973550502,0.961789393424269
1002.36182661581,1.04918276591241
1002.46392292833,1.11039119475769
1002.56602444256,1.14264140284854
1002.66813115851,1.12831244117124
1002.77024307537,1.09341693898384
1002.87236019395,1.03887376105528
1002.97448251425,0.983021558676171
1003.07661003627,0.921475759315115
1003.17874276083,0.885889262281935
1003.28088068548,0.884052637921052
1003.38302381267,0.920559937083837
1003.48517214158,0.971520196514135
1003.58732567221,1.03021160157765
1003.68948440375,1.08714426860232
1003.79164833702,1.13053088137502
1003.89381747282,1.18241722078484
1003.99599180953,1.25643692687162
1004.09817134797,1.3289097125304
1004.20035608813,1.40968708752492
1004.30254603002,1.4680900680581
1004.40474117363,1.48333656816002
1004.50694151816,1.44295146954263
1004.60914706523,1.38339053335172
1004.71135781402,1.30407487413772
1004.81357376373,1.24128688279573
1004.91579491516,1.18404916294343
1005.01802126832,1.16115892091278
1005.12025282403,1.16280604483228
1005.22248958064,1.19391598183903
1005.32473153899,1.21800651212884
1005.42697869826,1.22123786492817
1005.52923106006,1.20791926161417
1005.63148862279,1.17890048712087
1005.73375138805,1.13434715518112
1005.83601935505,1.0666930755329
1005.93829252215,1.01006832175169
1006.04057089261,0.961426246738931
1006.14285446399,0.906653315937099
1006.2451432371,0.836683739319369
1006.34743721195,0.729064488637803
1006.44973638771,0.607322389355389
1006.55204076602,0.472023918866043
1006.65435034606,0.389945499255639
1006.75666512702,0.3527760772429
1006.85898511054,0.366512274731008
1006.96131029497,0.41056043389986
1007.06364068114,0.476980520025997
1007.16597626904,0.541432187355319
1007.26831705868,0.612539388344395
1007.37066305005,0.673395211644738
1007.47301424316,0.73660344267271
1007.5753706372,0.812227197872083
1007.67773223378,0.874029879046219
1007.78009903129,0.930153361973282
1007.88247103135,0.99099113761649
1007.98484823234,1.09558261229915
1008.08723063506,1.21348650517256
1008.18961823953,1.33377031690539
1008.29201104573,1.44032268439346
1008.39440905367,1.55039690340905
1008.49681226335,1.68427419537748
1008.59922067396,1.83468586173276
1008.70163428713,2.0160204049571
1008.80405310122,2.20286235103011
1008.90647711786,2.36821148882973
1009.00890633544,2.5376356326969
1009.11134075476,2.71514924274794
1009.21378037582,2.89514648123666
1009.31622519862,3.06810994010063
1009.41867522316,3.26848706501734
1009.52113044945,3.50487731836542
1009.62359087667,3.73674189007382
1009.72605650645,3.95121703824335
1009.82852733716,4.19736753347443
1009.93100337043,4.45825615176744
1010.03348460463,4.74343637652974
1010.13597104057,5.02571022705784
1010.23846267826,5.32824796949221
1010.3409595177,5.66046731294497
1010.44346155889,5.99635937359339
1010.54596880182,6.34214393896911
1010.64848124569,6.67193811879695
1010.75099889211,6.97824447580999
1010.85352173948,7.25157282378114
1010.9560497894,7.48855377636036
1011.05858304026,7.69739815912814
1011.16112149287,7.88044138044889
1011.26366514723,8.02749182665411
1011.36621400334,8.14781107056956
1011.4687680612,8.24713250715628
1011.57132732082,8.31754698531516
1011.67389178136,8.32001839161671
1011.77646144366,8.30162445107975
1011.87903630853,8.28985714405144
1011.98161637433,8.26581829340189
1012.08420164271,8.24851702751636
1012.1867921112,8.24094138033544
1012.28938778227,8.2437710472742
1012.39198865508,8.26175983908044
1012.49459472966,8.2737267420587
1012.59720600598,8.29825052798792
1012.69982248325,8.31784688496442
1012.80244416309,8.32214975642579
1012.90507104386,8.26169943297657
1013.00770312721,8.17323935933457
1013.1103404115,8.03621849861909
1013.21298289755,7.87480592126555
1013.31563058535,7.67463419696692
1013.41828347491,7.44740262273618
1013.52094156623,7.16131868816257
